Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10679409,1,"Friday, March 22, 2013 20:45:33 UTC",63.4778,-146.2900,1.4,26.60, 7,"Central Alaska"
nc,71958590,0,"Friday, March 22, 2013 20:43:22 UTC",38.7927,-122.7483,1.0,1.40,16,"Northern California"
ci,15312289,1,"Friday, March 22, 2013 20:40:47 UTC",36.0767,-117.8755,1.1,1.40,18,"Central California"
uw,60512021,2,"Friday, March 22, 2013 19:32:13 UTC",47.7560,-123.1832,3.2,41.30,37,"Olympic Peninsula, Washington"
us,b000fr4j,5,"Friday, March 22, 2013 19:30:04 UTC",37.4532,71.8038,4.2,114.50,31,"Tajikistan"
ak,10679390,1,"Friday, March 22, 2013 19:27:07 UTC",61.2625,-148.4380,1.5,26.00,16,"Southern Alaska"
nc,71958565,2,"Friday, March 22, 2013 19:22:52 UTC",37.3258,-122.1078,1.2,0.00,22,"San Francisco Bay area, California"
nn,00406758,1,"Friday, March 22, 2013 19:20:39 UTC",36.8193,-115.8729,1.0,10.30,12,"Nevada"
ci,15312257,3,"Friday, March 22, 2013 19:10:54 UTC",33.9873,-118.6907,2.2,13.00,54,"Santa Monica Bay, California"
nc,71958555,2,"Friday, March 22, 2013 19:02:47 UTC",39.3303,-123.2788,1.4,7.60,10,"Northern California"
ak,10679379,1,"Friday, March 22, 2013 18:53:35 UTC",61.4193,-146.6656,1.6,13.40,14,"Southern Alaska"
ci,15312249,5,"Friday, March 22, 2013 18:48:00 UTC",35.7235,-119.8515,1.2,3.30, 6,"Central California"
ci,15312241,2,"Friday, March 22, 2013 18:33:21 UTC",34.0297,-116.8585,1.1,9.40,39,"Southern California"
us,b000fr1b,7,"Friday, March 22, 2013 17:57:36 UTC",10.1017,-103.9291,4.5,10.10,58,"northern East Pacific Rise"
